player_count,hour_of_day,day_of_week,hero_level,hero_kills,deaths,unit_kills,total_gold,highest_atk,highest_def,highest_speed,atk_range,gold_per_level,atk_per_level,def_per_level,speed_per_level,kd_ratio,total_kills,gold_efficiency,death_ratio,is_winner
5,0,5,11,5,7,60,1770,70,145,481,203,394,9,4,23,2.389578880436763,6,494.50967973659914,1.6062400065344034,0
6,4,2,8,16,2,40,4155,133,52,206,182,679,8,6,27,0.622887913601536,3,1218.086349946478,2.3651985928347377,1
4,22,5,11,1,8,32,11693,260,138,302,202,322,19,9,24,3.282824433109113,89,1107.0434456850799,2.454312504965245,1
6,9,0,4,2,12,49,11906,260,98,392,116,599,6,5,19,4.35319800028594,68,224.32455615112863,2.873736227146945,1
6,21,1,17,4,3,67,13916,189,124,440,105,651,19,4,16,4.158110759684919,59,853.1584705911862,2.4728039577686234,1
3,4,6,7,4,12,70,12777,86,91,261,246,303,6,12,17,3.1676680740059266,54,1281.964101313345,1.6945243101522798,0
4,3,2,8,0,5,85,2628,91,198,216,127,661,17,4,12,0.4688657115932008,15,1727.4917934178036,0.538970897510538,0
4,1,1,3,7,9,32,14989,194,86,370,137,595,17,3,24,0.6507454331624636,98,1799.555804905731,0.2992906731085272,0
4,19,2,2,11,4,80,1386,150,83,224,218,536,8,7,25,0.34161403683814096,89,1070.9299460598018,0.1635356697325776,1
6,9,4,15,3,9,23,7031,295,99,450,136,798,14,14,13,1.3616481608130997,81,1511.1604771389887,1.9995774953561511,1
5,18,3,5,12,12,60,12613,97,130,452,214,341,17,8,15,0.764741189085851,28,769.6182377602238,2.4226087661939792,0
4,0,4,1,14,0,60,7439,152,86,406,167,516,14,8,10,1.3742353972369263,22,815.9355303655834,1.526051852052237,1
7,23,5,4,10,8,97,7401,77,167,228,142,757,17,11,13,1.9867844730229125,116,550.0343345281647,0.16414252450091982,0
6,4,1,15,9,0,27,14392,90,197,316,157,726,19,6,20,4.720615641948565,13,1211.506597987831,1.6064117237740145,1
3,12,5,19,2,7,57,5008,148,164,481,112,755,13,3,21,3.0908426929302912,78,766.2154716692575,2.807247784573651,1
5,3,3,3,13,8,42,13285,96,132,343,151,600,12,8,14,4.191371549846515,48,351.86761358930903,1.7928395727973814,0
7,15,2,11,15,8,40,13555,289,195,224,157,509,7,7,25,3.5807223534904282,32,1433.0109559937218,2.4282824653884445,0
7,23,3,17,9,0,38,3466,195,114,355,131,694,19,12,22,0.6512653395804956,24,1473.9557736897168,2.4004579451752517,1
3,15,0,13,9,1,85,3282,255,90,272,204,755,18,8,22,3.70600999123235,20,847.9863538023042,2.7963872993419585,0
5,22,3,11,11,11,48,2856,276,32,319,182,308,13,5,26,1.4479845196397099,16,338.10211902084103,2.31068629694962,0
6,1,0,2,8,12,16,8980,285,157,292,198,571,18,4,16,3.2316284502740613,22,967.3358913261667,2.243101542039269,1
2,16,3,9,0,0,97,2998,154,115,285,203,405,9,8,17,1.770713670850644,56,996.2038244903878,0.7023079949119218,1
5,19,6,2,4,9,69,6476,173,76,317,127,242,15,3,22,4.98859408999683,106,1403.6075928162072,0.17977546596324434,1
3,23,0,9,19,1,69,10428,248,105,432,228,444,7,9,25,1.3914022495342115,80,767.7495042656303,1.5527983951614233,0
7,11,1,9,7,9,97,5669,282,67,398,147,486,9,9,13,1.4677393067939215,57,1428.6787036063497,0.3733026238402656,1
6,17,5,8,10,11,64,13336,62,193,405,139,554,17,12,17,4.660294052255751,13,1768.679375163299,2.886587628833974,1
5,2,5,17,11,7,73,10342,259,198,346,196,675,14,9,25,0.2207575827179811,92,627.4748762519597,0.8697742878990857,1
2,0,4,1,0,4,84,5318,278,170,470,213,282,17,14,19,3.513776040578665,19,1962.0552010158196,2.558832610152879,1
2,0,5,11,19,11,4,8064,190,116,338,231,309,8,13,21,3.654099314605803,29,895.4626468462525,1.162873875607378,1
4,18,2,8,10,10,1,8446,149,87,380,236,389,12,12,21,4.198255029310957,18,681.0656332647111,0.9695827495721323,0
4,10,6,10,4,6,21,2431,80,79,229,210,450,17,3,14,4.874752622128529,52,958.720128518523,2.8054757171298634,1
3,4,3,7,14,1,56,6624,179,59,256,243,490,16,6,25,4.880449403867597,102,369.9154566269465,1.089967716258672,1
5,11,4,3,4,7,65,8461,65,130,431,175,400,9,9,10,0.4198561120756731,55,426.2706317218082,1.1708637259894092,0
5,2,2,3,11,10,73,2819,186,54,345,130,525,14,13,18,4.127012681489222,76,945.9812845429965,0.3182753388387275,1
